Адрес,Широта,Долгота,Описание ,
"Москва Зубовский бульвар , д. 17 стр. 1",55.7363213,37.5909056,"Формат: ВкусВилл
Адрес: Москва Зубовский бульвар , д. 17 стр. 1
ТТ: 1498
Телефон ТТ: , 79296106533
Эл. почта: retail.1.29@vkusvill.ru, retail.1.29@vkusvill.ru
Код ТТ: 1498М_ЗубовскийБульвар17",
"Москва Измайловский б-р, д. 58",55.7964588,37.8118274,"Формат: ВкусВилл
Адрес: Москва Измайловский б-р, д. 58
ТТ: 1712
Телефон ТТ: , 79261832316
Эл. почта: retail.2.16@vkusvill.ru, retail.2.16@vkusvill.ru
Код ТТ: 1712М_Измайловский58",
"Москва Измайловский бул., д. 38",55.7963574,37.8007698,"Формат: ВкусВилл
Адрес: Москва Измайловский бул., д. 38
ТТ: 497
Телефон ТТ: , 79261832316
Эл. почта: retail.2.16@vkusvill.ru, retail.2.16@vkusvill.ru
Код ТТ: 497М_Измайловский38",
Москва к. 1634 стр. 3,55.7921223,37.7619363,"Формат: Шмель
Адрес: Москва к. 1634 стр. 3
ТТ: 9095
Телефон ТТ: , 79267163218
Эл. почта: retail.3.36@vkusvill.ru, retail.3.36@vkusvill.ru
Код ТТ: 9095Ш_Зеленоград_1634",
Москва к. 2309А,55.9650382,37.1875428,"Формат: ВкусВилл
Адрес: Москва к. 2309А
ТТ: 7161
Телефон ТТ: , 79267163218
Эл. почта: retail.3.36@vkusvill.ru, retail.3.36@vkusvill.ru
Код ТТ: 7161М_Зел_2309",
Москва Каширское шоссе 40к2,55.648946,37.661734,"Формат: ВкусВилл
Адрес: Москва Каширское шоссе 40к2
ТТ: 1166
Телефон ТТ: , 79257861214
Эл. почта: retail.2.5@vkusvill.ru, retail.2.5@vkusvill.ru
Код ТТ: 1166М_Каширское40",
Москва Каширское шоссе 53 к4,55.639349,37.693606,"Формат: ВкусВилл
Адрес: Москва Каширское шоссе 53 к4
ТТ: 1078
Телефон ТТ: , 79257861214
Эл. почта: retail.2.5@vkusvill.ru, retail.2.5@vkusvill.ru
Код ТТ: 1078М_Каширское53",
"Москва Киевское 22-й км ш, д. 6В к. 4",55.625142,37.415459,"Формат: Шмель
Адрес: Москва Киевское 22-й км ш, д. 6В к. 4
ТТ: 8358
Телефон ТТ: , 79266301068
Эл. почта: retail.1.31@vkusvill.ru, retail.1.31@vkusvill.ru
Код ТТ: 8358Ш_Киевское22-йкм6",
"Москва Коломенский пр., д. 10А",55.6657125,37.6502706,"Формат: ВкусВилл
Адрес: Москва Коломенский пр., д. 10А
ТТ: 1617
Телефон ТТ: , 79257861214
Эл. почта: retail.2.5@vkusvill.ru, retail.2.5@vkusvill.ru
Код ТТ: 1617М_Коломенский10",
"Москва Комсомольский проспект, д. 38/16",55.7229691,37.5755129,"Формат: ВкусВилл
Адрес: Москва Комсомольский проспект, д. 38/16
ТТ: 925
Телефон ТТ: , 79296106533
Эл. почта: retail.1.29@vkusvill.ru, retail.1.29@vkusvill.ru
Код ТТ: 925М_Комсомольский38",
Москва Краснобогатырская 29,55.8104368,37.7048132,"Формат: ВкусВилл
Адрес: Москва Краснобогатырская 29
ТТ: 1341
Телефон ТТ: , 79257762419
Эл. почта: retail.2.6@vkusvill.ru, retail.2.6@vkusvill.ru
Код ТТ: 1341М_Краснобогатырская29",
"Москва Красностуденческий проезд, д.2",55.8257096,37.5674748,"Формат: ВкусВилл
Адрес: Москва Красностуденческий проезд, д.2
ТТ: 1364
Телефон ТТ: , 79267165688
Эл. почта: retail.3.38@vkusvill.ru, retail.3.38@vkusvill.ru
Код ТТ: 1364М_Красностуденческий2",
"Москва Крёкшино, ул. Озерная д. 2",55.5927587,37.1165777,"Формат: ВкусВилл
Адрес: Москва Крёкшино, ул. Озерная д. 2
ТТ: 3383
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 3383М_пКрёкшино2",
"Москва Кутузовский пр-т, 24",55.7444888,37.5452528,"Формат: ВкусВилл
Адрес: Москва Кутузовский пр-т, 24
ТТ: 1381
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 1381М_Кутузовский24",
Москва Ленинградский проспект 54/1,55.797888,37.539509,"Формат: ВкусВилл
Адрес: Москва Ленинградский проспект 54/1
ТТ: 1323
Телефон ТТ: , 79259526915
Эл. почта: retail.3.40@vkusvill.ru, retail.3.40@vkusvill.ru
Код ТТ: 1323М_Ленинградский54",
"Москва Ленинградский проспект, д. 74а",55.806945,37.516934,"Формат: ВкусВилл
Адрес: Москва Ленинградский проспект, д. 74а
ТТ: 940
Телефон ТТ: , 79259526915
Эл. почта: retail.3.40@vkusvill.ru, retail.3.40@vkusvill.ru
Код ТТ: 940М_Ленинградский74",
"Москва Ленинградское ш., д.36, корп.1",55.8302772,37.4893038,"Формат: ВкусВилл
Адрес: Москва Ленинградское ш., д.36, корп.1
ТТ: 1460
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 1460М_Ленинградское36",
"Москва Ленинский проспект, 148с1",55.6562823,37.4928148,"Формат: ВкусВилл
Адрес: Москва Ленинский проспект, 148с1
ТТ: 1495
Телефон ТТ: , 79257861325
Эл. почта: tatyana.sarapaeva@mail.ru, tatyana.sarapaeva@mail.ru
Код ТТ: 1495М_ЛенинскийПроспект148",
"Москва Ленинский проспект, д. 131",55.644145,37.473492,"Формат: ВкусВилл
Адрес: Москва Ленинский проспект, д. 131
ТТ: 1508
Телефон ТТ: , 79257861325
Эл. почта: tatyana.sarapaeva@mail.ru, tatyana.sarapaeva@mail.ru
Код ТТ: 1508М_Ленинский131",
"Москва Ленинский проспект, д. 37а",55.708628,37.586634,"Формат: ВкусВилл
Адрес: Москва Ленинский проспект, д. 37а
ТТ: 774
Телефон ТТ: , 79261605988
Эл. почта: retail.1.17@vkusvill.ru, retail.1.17@vkusvill.ru
Код ТТ: 774М_Ленинский37",
"Москва Ленинский проспект, д. 7",55.724979,37.606519,"Формат: Шмель
Адрес: Москва Ленинский проспект, д. 7
ТТ: 1967
Телефон ТТ: , 79261605988
Эл. почта: retail.1.17@vkusvill.ru, retail.1.17@vkusvill.ru
Код ТТ: 1967Ш_Ленинский7",
"Москва Ленинский проспект, д. 95",55.673976,37.525872,"Формат: Шмель
Адрес: Москва Ленинский проспект, д. 95
ТТ: 1976
Телефон ТТ: , 79257861325
Эл. почта: tatyana.sarapaeva@mail.ru, tatyana.sarapaeva@mail.ru
Код ТТ: 1976Ш_Ленинский95",
"Москва Ленинский проспект, дом 62/1",55.693992,37.554457,"Формат: ВкусВилл
Адрес: Москва Ленинский проспект, дом 62/1
ТТ: 1404
Телефон ТТ: , 79257861325
Эл. почта: tatyana.sarapaeva@mail.ru, tatyana.sarapaeva@mail.ru
Код ТТ: 1404М_Ленинский62",
"Москва Ленинский, дом № 73/8",55.688553,37.547405,"Формат: ВкусВилл
Адрес: Москва Ленинский, дом № 73/8
ТТ: 4707
Телефон ТТ: , 79257861325
Эл. почта: tatyana.sarapaeva@mail.ru, tatyana.sarapaeva@mail.ru
Код ТТ: 4707М_Ленинский73Переезд",
"Москва линия 9-Я Северная, д. 3А",55.936603,37.5525737,"Формат: Шмель
Адрес: Москва линия 9-Я Северная, д. 3А
ТТ: 6797
Телефон ТТ: , 79257861176
Эл. почта: retail.3.19@vkusvill.ru, retail.3.19@vkusvill.ru
Код ТТ: 6797Ш_9Северная3",
"Москва Лухмановская, дом № 24А",55.722112,37.905518,"Формат: ВкусВилл
Адрес: Москва Лухмановская, дом № 24А
ТТ: 5847
Телефон ТТ: , 79257860662
Эл. почта: retail.2.12@vkusvill.ru, retail.2.12@vkusvill.ru
Код ТТ: 5847М_Лухмановская24",
Москва Малая Грузинская 12,55.7637138,37.5719496,"Формат: ВкусВилл
Адрес: Москва Малая Грузинская 12
ТТ: 1013
Телефон ТТ: , 79366224718
Эл. почта: retail.3.29@vkusvill.ru, retail.3.29@vkusvill.ru
Код ТТ: 1013М_МалГрузинская12",
"Москва Марушкинское п., д. Крёкшино, ул. Медовая Долина, д. 7 к. 1",,,Not Found,"Формат: ВкусВилл
Адрес: Москва Каширское шоссе 53 к4
ТТ: 1078
Телефон ТТ: , 79257861214
Эл. почта: retail.2.5@vkusvill.ru, retail.2.5@vkusvill.ru
Код ТТ: 1078М_Каширское53"
"Москва Маршала Захарова, д.16 к 2",55.6215035,37.6982526,"Формат: ВкусВилл
Адрес: Москва Маршала Захарова, д.16 к 2
ТТ: 1384
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 1384М_МаршалаЗахарова16",
"Москва Маршала Малиновского, 8",55.7927449,37.4935276,"Формат: ВкусВилл
Адрес: Москва Маршала Малиновского, 8
ТТ: 1448
Телефон ТТ: , 79295979127
Эл. почта: retail.3.54@vkusvill.ru, retail.3.54@vkusvill.ru
Код ТТ: 1448М_ММалиновского8",
"Москва Мира, дом № 182",55.825629,37.647298,"Формат: ВкусВилл
Адрес: Москва Мира, дом № 182
ТТ: 4851
Телефон ТТ: , 79267944543
Эл. почта: retail.3.1@vkusvill.ru, retail.3.1@vkusvill.ru
Код ТТ: 4851М_Мира182",
"Москва МКАД 87 км, д. 8, ТЦ Час-Пик",,,Not Found,"Формат: ВкусВилл
Адрес: Москва Комсомольский проспект, д. 38/16
ТТ: 925
Телефон ТТ: , 79296106533
Эл. почта: retail.1.29@vkusvill.ru, retail.1.29@vkusvill.ru
Код ТТ: 925М_Комсомольский38"
"Москва мкр. Северное Чертаново, д.1А",55.637393,37.600388,"Формат: ВкусВилл
Адрес: Москва мкр. Северное Чертаново, д.1А
ТТ: 1141
Телефон ТТ: , 79366224691
Эл. почта: retail.1.25@vkusvill.ru, retail.1.25@vkusvill.ru
Код ТТ: 1141М_Сев_Чертаново1",
"Москва Мнёвники, дом № 11",55.772936,37.4862822,"Формат: ВкусВилл
Адрес: Москва Мнёвники, дом № 11
ТТ: 5381
Телефон ТТ: , 79295173518
Эл. почта: retail.1.34@vkusvill.ru, retail.1.34@vkusvill.ru
Код ТТ: 5381М_Мневники11",
"Москва Можайское шоссе, д. 28",55.7202739,37.4216985,"Формат: ВкусВилл
Адрес: Москва Можайское шоссе, д. 28
ТТ: 835
Телефон ТТ: , 79057198884
Эл. почта: retail.1.36@vkusvill.ru, retail.1.36@vkusvill.ru
Код ТТ: 835М_Можайское28",
Москва Молостовых 14к1,55.7543162,37.8313569,"Формат: Шмель
Адрес: Москва Молостовых 14к1
ТТ: 1219
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 1219Ш_Молостовых14",
"Москва Москва, ул. Бутлерова, д. 4",55.6532754,37.5249678,"Формат: ВкусВилл
Адрес: Москва Москва, ул. Бутлерова, д. 4
ТТ: 2773
Телефон ТТ: , 79263370916
Эл. почта: retail.1.41@vkusvill.ru, retail.1.41@vkusvill.ru
Код ТТ: 2773М_Бутлерова4",
"Москва Мусы Джалиля, 16",55.6239857,37.7420869,"Формат: Шмель
Адрес: Москва Мусы Джалиля, 16
ТТ: 1435
Телефон ТТ: , 79261770702
Эл. почта: retail.2.14@vkusvill.ru, retail.2.14@vkusvill.ru
Код ТТ: 1435Ш_МусыДжалиля16",
"Москва наб. Нагатинская, д. 14 к. 1",55.6831205,37.6483172,"Формат: Жук
Адрес: Москва наб. Нагатинская, д. 14 к. 1
ТТ: 7351
Телефон ТТ: , 79257861214
Эл. почта: retail.2.5@vkusvill.ru, retail.2.5@vkusvill.ru
Код ТТ: 7351Ж_Нагатинская14",
"Москва наб. Пресненская, д. 10 стр. 2, башня IQ, вход 1",,,Not Found,"Формат: ВкусВилл
Адрес: Москва Ленинградское ш., д.36, корп.1
ТТ: 1460
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 1460М_Ленинградское36"
"Москва наб. Пресненская, д. 2",55.749161,37.539724,"Формат: ВкусВилл
Адрес: Москва наб. Пресненская, д. 2
ТТ: 9002
Телефон ТТ: , 79267161806
Эл. почта: retail.r.22@vkusvill.ru, retail.r.22@vkusvill.ru
Код ТТ: 9002М_Пресненская2",
"Москва наб. Рубцовская, д. 4 к. 2",55.7754301,37.698822,"Формат: Жук
Адрес: Москва наб. Рубцовская, д. 4 к. 2
ТТ: 7530
Телефон ТТ: , 79261832316
Эл. почта: retail.2.16@vkusvill.ru, retail.2.16@vkusvill.ru
Код ТТ: 7530Ж_Рубцовская4",
"Москва наб. Шелепихинская, д. 34 к. 1",55.761282,37.513422,"Формат: ВкусВилл
Адрес: Москва наб. Шелепихинская, д. 34 к. 1
ТТ: 3934
Телефон ТТ: , 79295173518
Эл. почта: retail.1.34@vkusvill.ru, retail.1.34@vkusvill.ru
Код ТТ: 3934М_Шелепихинская34",
"Москва наб. Шелепихинская, д. 42 к. 3",55.768046,37.499659,"Формат: Жук
Адрес: Москва наб. Шелепихинская, д. 42 к. 3
ТТ: 7802
Телефон ТТ: , 79295173518
Эл. почта: retail.1.34@vkusvill.ru, retail.1.34@vkusvill.ru
Код ТТ: 7802Ж_Шелепихинская42",
"Москва Новопесчаная, 21к1",55.794345,37.5119055,"Формат: ВкусВилл
Адрес: Москва Новопесчаная, 21к1
ТТ: 1472
Телефон ТТ: , 79259526915
Эл. почта: retail.3.40@vkusvill.ru, retail.3.40@vkusvill.ru
Код ТТ: 1472М_Новопесчаная21",
"Москва Новослободская, 50/1с2",55.7869937,37.5944215,"Формат: ВкусВилл
Адрес: Москва Новослободская, 50/1с2
ТТ: 1456
Телефон ТТ: , 79366224718
Эл. почта: retail.3.29@vkusvill.ru, retail.3.29@vkusvill.ru
Код ТТ: 1456М_Новослободская50",
"Москва Новотушинский проезд, д. 10, корп. 2",55.8404719,37.3808328,"Формат: ВкусВилл
Адрес: Москва Новотушинский проезд, д. 10, корп. 2
ТТ: 507
Телефон ТТ: , 79257861062
Эл. почта: retail.1.2@vkusvill.ru, retail.1.2@vkusvill.ru
Код ТТ: 507М_Новотушинский10",
"Москва Одесская, дом № 16",55.6562614,37.5900816,"Формат: ВкусВилл
Адрес: Москва Одесская, дом № 16
ТТ: 5454
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 5454М_Одесская16",
"Москва Октябрьская, дом № 89",55.796825,37.612165,"Формат: ВкусВилл
Адрес: Москва Октябрьская, дом № 89
ТТ: 4683
Телефон ТТ: , 79261824715
Эл. почта: retail.3.33@vkusvill.ru, retail.3.33@vkusvill.ru
Код ТТ: 4683М_Октябрьская89",
Москва Олимпийский проспект 30с1,55.79141,37.6228504,"Формат: ВкусВилл
Адрес: Москва Олимпийский проспект 30с1
ТТ: 1328
Телефон ТТ: , 79261824715
Эл. почта: retail.3.33@vkusvill.ru, retail.3.33@vkusvill.ru
Код ТТ: 1328М_Олимпийский30",
"Москва Омская, дом № 7А",55.615832,37.263439,"Формат: ВкусВилл
Адрес: Москва Омская, дом № 7А
ТТ: 5813
Телефон ТТ: , 79366224691
Эл. почта: retail.1.25@vkusvill.ru, retail.1.25@vkusvill.ru
Код ТТ: 5813М_Омская7",
"Москва Оружейный пер., д. 5",55.7712079,37.5980106,"Формат: ВкусВилл
Адрес: Москва Оружейный пер., д. 5
ТТ: 1519
Телефон ТТ: , 79261824715
Эл. почта: retail.3.33@vkusvill.ru, retail.3.33@vkusvill.ru
Код ТТ: 1519М_Оружейный5",
"Москва Осенний бульвар, д. 8А",55.7561652,37.4090763,"Формат: ВкусВилл
Адрес: Москва Осенний бульвар, д. 8А
ТТ: 6631
Телефон ТТ: , 79257765132
Эл. почта: retail.1.14@vkusvill.ru, retail.1.14@vkusvill.ru
Код ТТ: 6631М_Осенний8",
"Москва Осенний бульвар, д.18, к. 1",55.7616719,37.4085762,"Формат: ВкусВилл
Адрес: Москва Осенний бульвар, д.18, к. 1
ТТ: 1353
Телефон ТТ: , 79257765132
Эл. почта: retail.1.14@vkusvill.ru, retail.1.14@vkusvill.ru
Код ТТ: 1353М_Осенний18",
Москва Открытое шоссе 24к11,55.823018,37.757539,"Формат: ВкусВилл
Адрес: Москва Открытое шоссе 24к11
ТТ: 1383
Телефон ТТ: , 79257762419
Эл. почта: retail.2.6@vkusvill.ru, retail.2.6@vkusvill.ru
Код ТТ: 1383М_Открытое24",
"Москва Открытое, дом № 5А",55.814109,37.7336169,"Формат: ВкусВилл
Адрес: Москва Открытое, дом № 5А
ТТ: 5757
Телефон ТТ: , 79257762419
Эл. почта: retail.2.6@vkusvill.ru, retail.2.6@vkusvill.ru
Код ТТ: 5757М_Открытое5",
"Москва п. Московский, ул. Татьянин Парк, д. 19, к. 1",,,Not Found,
"Москва п. Сосенское, Прокшинский пр-кт, дом № 11",,,Not Found,
"Москва п.Внуковское,ул.Самуила Маршака, д.16",,,Not Found,"Формат: ВкусВилл
Адрес: Москва мкр. Северное Чертаново, д.1А
ТТ: 1141
Телефон ТТ: , 79366224691
Эл. почта: retail.1.25@vkusvill.ru, retail.1.25@vkusvill.ru
Код ТТ: 1141М_Сев_Чертаново1"
"Москва пер. 1-Й Котляковский, д. 2А к. 3",55.649987,37.629839,"Формат: Шмель
Адрес: Москва пер. 1-Й Котляковский, д. 2А к. 3
ТТ: 6938
Телефон ТТ: , 79261770702
Эл. почта: retail.2.14@vkusvill.ru, retail.2.14@vkusvill.ru
Код ТТ: 6938Ш_1йКотляковский2",
"Москва пер. 2-й Новоподмосковный, д. 3",55.8181258,37.5092841,"Формат: ВкусВилл
Адрес: Москва пер. 2-й Новоподмосковный, д. 3
ТТ: 9062
Телефон ТТ: , 79257861207
Эл. почта: retail.3.22@vkusvill.ru, retail.3.22@vkusvill.ru
Код ТТ: 9062М_2-йНовоподмосковный3",
"Москва пер. 3й Крутицкий, д. 13 стр. 2",55.7310024,37.6648321,"Формат: ВкусВилл
Адрес: Москва пер. 3й Крутицкий, д. 13 стр. 2
ТТ: 5363
Телефон ТТ: , 79267165606
Эл. почта: retail.2.30@vkusvill.ru, retail.2.30@vkusvill.ru
Код ТТ: 5363М_3йКрутицкий13переезд",
"Москва пер. 4-й Вятский, д. 37",55.8000376,37.5705304,"Формат: ВкусВилл
Адрес: Москва пер. 4-й Вятский, д. 37
ТТ: 5136
Телефон ТТ: , 79366224718
Эл. почта: retail.3.29@vkusvill.ru, retail.3.29@vkusvill.ru
Код ТТ: 5136М_4-йВятский37",
"Москва пер. Большой Кисловский, д. 4, стр. 1",55.7542106,37.6065575,"Формат: ВкусВилл
Адрес: Москва пер. Большой Кисловский, д. 4, стр. 1
ТТ: 1992
Телефон ТТ: , 79296106533
Эл. почта: retail.1.29@vkusvill.ru, retail.1.29@vkusvill.ru
Код ТТ: 1992М_БольшойКисловский4",
"Москва пер. Большой Саввинский, д. 3",55.735581,37.570105,"Формат: Жук
Адрес: Москва пер. Большой Саввинский, д. 3
ТТ: 8954
Телефон ТТ: , 79057198884
Эл. почта: retail.1.36@vkusvill.ru, retail.1.36@vkusvill.ru
Код ТТ: 8954Ж_БСаввинский3",
"Москва пер. Большой Факельный, д. 3 стр. 2",55.7426309,37.6636444,"Формат: ВкусВилл
Адрес: Москва пер. Большой Факельный, д. 3 стр. 2
ТТ: 1708
Телефон ТТ: , 79267165606
Эл. почта: retail.2.30@vkusvill.ru, retail.2.30@vkusvill.ru
Код ТТ: 1708М_БФакельный3",
"Москва пер. Малый Палашевский, д. 6",55.7651677,37.6027524,"Формат: ВкусВилл
Адрес: Москва пер. Малый Палашевский, д. 6
ТТ: 2148
Телефон ТТ: , 79261824715
Эл. почта: retail.3.33@vkusvill.ru, retail.3.33@vkusvill.ru
Код ТТ: 2148М_МалыйПалашевский6",
"Москва пер. Плетешковский, д. 10",55.7702767,37.6750192,"Формат: Жук
Адрес: Москва пер. Плетешковский, д. 10
ТТ: 7259
Телефон ТТ: , 79296096417
Эл. почта: retail.r.30@vkusvill.ru, retail.r.30@vkusvill.ru
Код ТТ: 7259Ж_Плетешковский10",
"Москва пер. Протопоповский, д. 16",55.7794636,37.6407741,"Формат: ВкусВилл
Адрес: Москва пер. Протопоповский, д. 16
ТТ: 6939
Телефон ТТ: , 79267944543
Эл. почта: retail.3.1@vkusvill.ru, retail.3.1@vkusvill.ru
Код ТТ: 6939М_Протопоповский16",
"Москва пер. Сивцев Вражек, д. 20",55.7478952,37.5939783,"Формат: ВкусВилл
Адрес: Москва пер. Сивцев Вражек, д. 20
ТТ: 3880
Телефон ТТ: , 79057198884
Эл. почта: retail.1.36@vkusvill.ru, retail.1.36@vkusvill.ru
Код ТТ: 3880М_СивцевВражек20",
"Москва пер. Смоленский 1-й, д. 21",55.7492423,37.5792187,"Формат: ВкусВилл
Адрес: Москва пер. Смоленский 1-й, д. 21
ТТ: 1751
Телефон ТТ: , 79057198884
Эл. почта: retail.1.36@vkusvill.ru, retail.1.36@vkusvill.ru
Код ТТ: 1751М_1йСмоленский21",
"Москва пер. Стремянный, д. 2",55.7288783,37.6362219,"Формат: ВкусВилл
Адрес: Москва пер. Стремянный, д. 2
ТТ: 6736
Телефон ТТ: , 79267897886
Эл. почта: retail.2.17@vkusvill.ru, retail.2.17@vkusvill.ru
Код ТТ: 6736М_Стремянный2",
"Москва пер. Юрьевский, д. 22, к. 1",55.7624618,37.7174191,"Формат: Шмель
Адрес: Москва пер. Юрьевский, д. 22, к. 1
ТТ: 3352
Телефон ТТ: , 79268326567
Эл. почта: retail.2.32@vkusvill.ru, retail.2.32@vkusvill.ru
Код ТТ: 3352Ш_Юрьевский22",
"Москва Первомайская, 34/16",55.7926007,37.7837146,"Формат: ВкусВилл
Адрес: Москва Первомайская, 34/16
ТТ: 1463
Телефон ТТ: , 79261832316
Эл. почта: retail.2.16@vkusvill.ru, retail.2.16@vkusvill.ru
Код ТТ: 1463М_Первомайская34",
"Москва Перовская, 56/55",55.7452067,37.7894737,"Формат: ВкусВилл
Адрес: Москва Перовская, 56/55
ТТ: 1425
Телефон ТТ: , 79268326567
Эл. почта: retail.2.32@vkusvill.ru, retail.2.32@vkusvill.ru
Код ТТ: 1425М_Перовская56",
"Москва Петровско-Разумовский пр., д. 18",55.7989253,37.5677158,"Формат: ВкусВилл
Адрес: Москва Петровско-Разумовский пр., д. 18
ТТ: 1524
Телефон ТТ: , 79366224718
Эл. почта: retail.3.29@vkusvill.ru, retail.3.29@vkusvill.ru
Код ТТ: 1524М_Петровско-Разумовский18",
"Москва пл. Академическая, д. 1",55.4852137,37.30378,"Формат: Жук
Адрес: Москва пл. Академическая, д. 1
ТТ: 8201
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 8201Ж_Академическая1",
"Москва пл. Джавахарлала Неру, д. 1",55.6932184,37.5338783,"Формат: ВкусВилл
Адрес: Москва пл. Джавахарлала Неру, д. 1
ТТ: 6554
Телефон ТТ: , 79250287858
Эл. почта: retail.r.7@vkusvill.ru, retail.r.7@vkusvill.ru
Код ТТ: 6554М_ДжавахарлалаНеру1",
"Москва пл. Кудринская, д. 1",55.7591704,37.5808741,"Формат: ВкусВилл
Адрес: Москва пл. Кудринская, д. 1
ТТ: 9205
Телефон ТТ: , 79299800187
Эл. почта: retail.r.24@vkusvill.ru, retail.r.24@vkusvill.ru
Код ТТ: 9205М_Кудринская1",
"Москва пл. Победы, д. 1 к. Б",55.7355981,37.5194626,"Формат: ВкусВилл
Адрес: Москва пл. Победы, д. 1 к. Б
ТТ: 7264
Телефон ТТ: , 79267162659
Эл. почта: retail.1.27@vkusvill.ru, retail.1.27@vkusvill.ru
Код ТТ: 7264М_Победы1",
"Москва пл. Победы, д. 2, к. 2",55.7374088,37.5184353,"Формат: ВкусВилл
Адрес: Москва пл. Победы, д. 2, к. 2
ТТ: 1902
Телефон ТТ: , 79267162659
Эл. почта: retail.1.27@vkusvill.ru, retail.1.27@vkusvill.ru
Код ТТ: 1902М_Победы2",
"Москва пос. Воскресенское, д. 29, пом. 1",55.5298685,37.4453843,"Формат: ВкусВилл
Адрес: Москва пос. Воскресенское, д. 29, пом. 1
ТТ: 1588
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 1588М_пВоскресенское29",
"Москва пос.гор.типа Московский, 3 мкр, д.9",,,Not Found,
"Москва поселение Коммунарка, ул. Лазурная, д. 3",,,Not Found,
"Москва поселение Рязановское, поселок Знамя Октября, мкр Родники, д. 6",,,Not Found,
"Москва поселение Филимонковское, пос.Марьино, д. 5",,,Not Found,"Формат: ВкусВилл
Адрес: Москва Открытое, дом № 5А
ТТ: 5757
Телефон ТТ: , 79257762419
Эл. почта: retail.2.6@vkusvill.ru, retail.2.6@vkusvill.ru
Код ТТ: 5757М_Открытое5"
"Москва пр-кт. Андропова, д. 21",55.6790747,37.6654366,"Формат: ВкусВилл
Адрес: Москва пр-кт. Андропова, д. 21
ТТ: 7806
Телефон ТТ: , 79257861214
Эл. почта: retail.2.5@vkusvill.ru, retail.2.5@vkusvill.ru
Код ТТ: 7806М_Андропова21переезд",
"Москва пр-кт. Ленинский, д. 70/11",55.687497,37.543327,"Формат: Жук
Адрес: Москва пр-кт. Ленинский, д. 70/11
ТТ: 7683
Телефон ТТ: , 79257861325
Эл. почта: tatyana.sarapaeva@mail.ru, tatyana.sarapaeva@mail.ru
Код ТТ: 7683Ж_Ленинский70_11",
"Москва пр-кт. Новосередневский, д. 19",55.567494,37.28622,"Формат: Шмель
Адрес: Москва пр-кт. Новосередневский, д. 19
ТТ: 6739
Телефон ТТ: , 79057198884
Эл. почта: retail.1.36@vkusvill.ru, retail.1.36@vkusvill.ru
Код ТТ: 6739Ш_Новосередневский19",
"Москва пр-т Андропова, д. 38",55.674151,37.6616808,"Формат: Шмель
Адрес: Москва пр-т Андропова, д. 38
ТТ: 3286
Телефон ТТ: , 79257861214
Эл. почта: retail.2.5@vkusvill.ru, retail.2.5@vkusvill.ru
Код ТТ: 3286Ш_Андропова38",
"Москва пр-т Балаклавский, д. 5А, стр. 12",55.642367,37.5916114,"Формат: ВкусВилл
Адрес: Москва пр-т Балаклавский, д. 5А, стр. 12
ТТ: 1745
Телефон ТТ: , 79366224691
Эл. почта: retail.1.25@vkusvill.ru, retail.1.25@vkusvill.ru
Код ТТ: 1745М_Балаклавский5",
"Москва пр-т Буденного, д. 29/1",55.7680137,37.7307319,"Формат: Шмель
Адрес: Москва пр-т Буденного, д. 29/1
ТТ: 3380
Телефон ТТ: , 79261604548
Эл. почта: retail.2.20@vkusvill.ru, retail.2.20@vkusvill.ru
Код ТТ: 3380Ш_Буденного29",
"Москва пр-т Будённого, д. 39 к. 1",55.7637637,37.7346774,"Формат: Жук
Адрес: Москва пр-т Будённого, д. 39 к. 1
ТТ: 8338
Телефон ТТ: , 79261604548
Эл. почта: retail.2.20@vkusvill.ru, retail.2.20@vkusvill.ru
Код ТТ: 8338Ж_Буденного39",
"Москва пр-т Будённого, д. 51 к. 5",55.7593338,37.7388838,"Формат: ВкусВилл
Адрес: Москва пр-т Будённого, д. 51 к. 5
ТТ: 5933
Телефон ТТ: , 79261604548
Эл. почта: retail.2.20@vkusvill.ru, retail.2.20@vkusvill.ru
Код ТТ: 5933М_Будённого51к5",
